type,german,japanese,note
adverb,"[abends]",夕方に,"通常『毎晩』の意味で使われる"
conjunction,"[aber]",but,
adjective,"[ähnlich]",似ている,"ähnlich + Dativ"
adverb,"[auch]",also,
preposition,"[aus]",from、外へ,"3格支配"
adverb,"[außerdem]",そのほかに,
adverb,"[bald]",まもなく、すぐに,
adjective,"[brav]",お行儀がいい,
adjective,"[dauernd]",絶え間のない,
adverb,"[deshalb]",それゆえに、だから,"後ろは倒置"
adverb,"[draußen]",外,
adverb,"[einmal]",一度,
adjective,"[fleißig]",熱心な、勤勉な,
adjective,"[frei]",free,
adjective,"[früh]",早い,
adjective,"[gemütlich]",居心地が良い,
adverb,"[gerade]",ちょうど、たった今,
adverb,"[gern]",好き,"動詞を修飾して『〜するのが好き』"
adjective,"[gesund]",健康な,
adverb,"[heute]",今日,
adverb,"[heutzutage]",近頃は,
adjective,"[hübsch]",可愛い、綺麗な,
adverb,"[immer]",always,
adverb,"[jetzt]",今,
adjective,"[kaputt]",壊れた,
adjective,"[lange]",長い,
adjective,"[langweilig]",退屈な,
adjective,"[lecker]",美味しい,
adjective,"[leer]",空っぽの,
adverb,"[leider]",残念ながら,
adverb,"[mehr]",more,
adverb,"[morgen]",明日,"名詞Morgen（朝）と区別"
adverb,"[nämlich]",つまり、なぜなら,
adjective,"[neu]",new,
adverb,"[nicht]",not,"否定語"
adverb,"[nie]",never,
adverb,"[noch]",still,
adverb,"[nur]",only,
conjunction,"[oder]",or,
adverb,"[oft]",頻繁に,
adjective,"[regelmäßig]",定期的な、規則正しい,
adjective,"[reich]",お金持ち,
adjective,"[romantisch]",ロマンチックな,
adjective,"[schade]",残念だ,"Es ist schade. の形でよく使う"
adjective,"[schnell]",速い,
adverb,"[schon]",すでに,
adjective,"[schön]",美しい,
adverb,"[sofort]",すぐに、直ちに,
adjective,"[spät]",遅い,
adjective,"[traurig]",悲しい,
adverb,"[übermorgen]",明後日,
adjective,"[vernünftig]",理にかなった、分別のある,
adverb,"[viel]",たくさん,
adverb,"[vielleicht]",もしかしたら,
adjective,"[voll]",混んでいる、満杯の,
adverb,"[vorgestern]",一昨日,
adverb,"[wahrscheinlich]",おそらく、多分,
pronoun,"[was]",what,"疑問代名詞"
adverb,"[wenig]",少ない,
adverb,"[wie]",how,
