type,german,japanese,note
verb,"[ändern, ändere, änderst, ändert, ändern, ändert, ändern]",変える,
verb,"[antworten, antworte, antwortest, antwortet, antworten, antwortet, antworten]",答える,
verb,"[arbeiten, arbeite, arbeitest, arbeitet, arbeiten, arbeitet, arbeiten]",働く,
verb,"[besuchen, besuche, besuchst, besucht, besuchen, besucht, besuchen]",訪問する,
verb,"[bleiben, bleibe, bleibst, bleibt, bleiben, bleibt, bleiben]",留まる,"du・erで母音変化(ei→ei+st/t)"
verb,"[denken, denke, denkst, denkt, denken, denkt, denken]",考える,"不規則変化(dachte, gedacht)"
verb,"[essen, esse, isst, isst, essen, esst, essen]",食べる,"du・erで母音変化(e→i)"
verb,"[fahren, fahre, fährst, fährt, fahren, fahrt, fahren]",（乗り物で）行く,"du・erで母音変化(a→ä)"
verb,"[fallen, falle, fällst, fällt, fallen, fallt, fallen]",落ちる,"du・erで母音変化(a→ä)"
verb,"[finden, finde, findest, findet, finden, findet, finden]",見つける,
verb,"[fragen, frage, fragst, fragt, fragen, fragt, fragen]",質問する,
verb,"[geben, gebe, gibst, gibt, geben, gebt, geben]",与える,"du・erで母音変化(e→i)"
verb,"[gefallen, gefalle, gefällst, gefällt, gefallen, gefallt, gefallen]",気に入る,"主語が『好かれる物』になる・du/erでa→ä"
verb,"[gehen, gehe, gehst, geht, gehen, geht, gehen]",行く,
verb,"[gehören, gehöre, gehörst, gehört, gehören, gehört, gehören]",属している、所有している,
verb,"[gelten, gelte, giltst, gilt, gelten, geltet, gelten]",有効である,"du・erで母音変化(e→i)"
verb,"[glauben, glaube, glaubst, glaubt, glauben, glaubt, glauben]",信じる,
verb,"[haben, habe, hast, hat, haben, habt, haben]",持っている,"不規則活用"
verb,"[halten, halte, hältst, hält, halten, haltet, halten]",止まる、保つ,"du・erで母音変化(a→ä)"
verb,"[heißen, heiße, heißt, heißt, heißen, heißt, heißen]",と言う名前だ,"ßに注意"
verb,"[helfen, helfe, hilfst, hilft, helfen, helft, helfen]",助ける,"du・erで母音変化(e→i)"
verb,"[kennen, kenne, kennst, kennt, kennen, kennt, kennen]",知っている,
verb,"[klingen, klinge, klingst, klingt, klingen, klingt, klingen]",響く、聞こえる,
verb,"[kommen, komme, kommst, kommt, kommen, kommt, kommen]",来る,
verb,"[kosten, koste, kostest, kostet, kosten, kostet, kosten]",費用がかかる,
verb,"[laden, lade, lädst, lädt, laden, ladet, laden]",積む,"du・erで母音変化(a→ä)"
verb,"[laufen, laufe, läufst, läuft, laufen, lauft, laufen]",走る、歩く,"du・erで母音変化(au→äu)"
verb,"[leben, lebe, lebst, lebt, leben, lebt, leben]",住む,
verb,"[lernen, lerne, lernst, lernt, lernen, lernt, lernen]",学ぶ,
verb,"[lesen, lese, liest, liest, lesen, lest, lesen]",読む,"du・erで母音変化(e→ie)"
verb,"[lieben, liebe, liebst, liebt, lieben, liebt, lieben]",愛する,
verb,"[machen, mache, machst, macht, machen, macht, machen]",する,
verb,"[meinen, meine, meinst, meint, meinen, meint, meinen]",思う、意味する,
verb,"[nehmen, nehme, nimmst, nimmt, nehmen, nehmt, nehmen]",取る,"du・erで母音変化(e→i)"
verb,"[reichen, reiche, reichst, reicht, reichen, reicht, reichen]",届く、足りる,
verb,"[reisen, reise, reist, reist, reisen, reist, reisen]",旅行する,
verb,"[sagen, sage, sagst, sagt, sagen, sagt, sagen]",言う,
verb,"[schauen, schaue, schaust, schaut, schauen, schaut, schauen]",見る,
verb,"[schenken, schenke, schenkst, schenkt, schenken, schenkt, schenken]",送る,
verb,"[schlafen, schlafe, schläfst, schläft, schlafen, schlaft, schlafen]",眠る,"du・erで母音変化(a→ä)"
verb,"[schmecken, schmecke, schmeckst, schmeckt, schmecken, schmeckt, schmecken]",味がする,
verb,"[sehen, sehe, siehst, sieht, sehen, seht, sehen]",見る,"du・erで母音変化(e→ie)"
verb,"[sein, bin, bist, ist, sind, seid, sind]",be動詞,"最重要不規則動詞"
verb,"[singen, singe, singst, singt, singen, singt, singen]",歌う,
verb,"[sitzen, sitze, sitzt, sitzt, sitzen, sitzt, sitzen]",座る,
verb,"[spielen, spiele, spielst, spielt, spielen, spielt, spielen]",遊ぶ、（楽器を）弾く,
verb,"[sprechen, spreche, sprichst, spricht, sprechen, sprecht, sprechen]",話す,"du・erで母音変化(e→i)"
verb,"[stimmen, stimme, stimmst, stimmt, stimmen, stimmt, stimmen]",合っている,
verb,"[studieren, studiere, studierst, studiert, studieren, studiert, studieren]",専攻する,
verb,"[tanzen, tanze, tanzt, tanzt, tanzen, tanzt, tanzen]",踊る,
verb,"[trauen, traue, traust, traut, trauen, traut, trauen]",信用する,
verb,"[treten, trete, trittst, tritt, treten, tretet, treten]",蹴る、歩みでる、踏む,"du・erで母音変化(e→i)"
verb,"[trinken, trinke, trinkst, trinkt, trinken, trinkt, trinken]",飲む,
verb,"[tun, tue, tust, tut, tun, tut, tun]",する,"不規則活用"
verb,"[üben, übe, übst, übt, üben, übt, üben]",練習する,
verb,"[verordnen, verordne, verordnest, verordnet, verordnen, verordnet, verordnen]",（薬を）処方する,
verb,"[verstehen, verstehe, verstehst, versteht, verstehen, versteht, verstehen]",理解する,"分離しない接頭辞ver-"
verb,"[warten, warte, wartest, wartet, warten, wartet, warten]",待つ,
verb,"[werden, werde, wirst, wird, werden, werdet, werden]",なる,"不規則活用・未来/受動の助動詞"
