type,german,japanese,gender,note
noun,"[Referat, Referate]",研究報告,das,
noun,"[Fleisch, -]",肉,das,不可算名詞
noun,"[Symptom, Symptome]",症状,das,
noun,"[Medikament, Medikamente]",薬,das,
noun,"[Haus, Häuser]",家・住まい,das,複数形でウムラウト
noun,"[Herz, Herzen]",心臓,das,弱変化名詞
noun,"[Klavier, Klaviere]",ピアノ,das,
noun,"[Gold, -]",金（金属）,das,不可算名詞
noun,"[Auto, Autos]",自動車,das,
noun,"[Bad, Bäder]",入浴・浴室,das,複数形でウムラウト
noun,"[Beispiel, Beispiele]",例・お手本,das,
noun,"[Bier, Biere]",ビール,das,
noun,"[Bild, Bilder]",絵・写真,das,
noun,"[Brot, Brote]",パン,das,
noun,"[Buch, Bücher]",本,das,複数形でウムラウト
noun,"[Fahrrad, Fahrräder]",自転車,das,複数形でウムラウト
noun,"[Fenster, Fenster]",窓,das,単複同形
noun,"[Geld, -]",お金,das,不可算名詞
noun,"[Gericht, Gerichte]",料理,das,「裁判所」の意味もある
noun,"[Jura, -]",法学,das,通常複数なし
noun,"[Kind, Kinder]",子ども,das,
noun,"[Kino, Kinos]",映画館,das,
noun,"[Mädchen, Mädchen]",女の子,das,語尾-lein由来で中性
noun,"[Museum, Museen]",ミュージアム,das,
noun,"[Österreich, -]",オーストリア,das,通常は冠詞なし
noun,"[Schiff, Schiffe]",船,das,
noun,"[Schweineschnitzel, Schweineschnitzel]",豚のカツレツ,das,単複同形
noun,"[Seminar, Seminare]",演習・ゼミ,das,
noun,"[Sofa, Sofas]",ソファ,das,
noun,"[Studentenwohnheim, Studentenwohnheime]",学生寮,das,
noun,"[Tennis, -]",テニス,das,通常複数なし
noun,"[Termin, Termine]",予約・予定,das,
noun,"[Thema, Themen]",テーマ,das,
noun,"[Wien, -]",ウィーン,das,通常は冠詞なし
noun,"[Wort, Wörter/Worte]",言葉・単語,das,"Wörter=単語群, Worte=発言"
noun,"[Wörterbuch, Wörterbücher]",辞書,das,複数形でウムラウト
noun,"[Wunde, Wunden]",傷,die,元データは誤り
noun,"[Zimmer, Zimmer]",部屋,das,単複同形
noun,"[Chinesisch, -]",中国語,das,言語名
noun,"[Deutsch, -]",ドイツ語,das,言語名
noun,"[Französisch, -]",フランス語,das,言語名
noun,"[Japanisch, -]",日本語,das,言語名
noun,"[Spaß, Späße]",楽しみ,der,
noun,"[Morgen, Morgen]",朝,der,単複同形
noun,"[Spaziergang, Spaziergänge]",散歩,der,複数形でウムラウト
noun,"[Beruf, Berufe]",職業,der,
noun,"[Zucker, Zucker]",砂糖,der,通常不可算
noun,"[Baum, Bäume]",木,der,複数形でウムラウト
noun,"[Bleistift, Bleistifte]",鉛筆,der,
noun,"[Brief, Briefe]",手紙,der,
noun,"[Bruder, Brüder]",兄・弟,der,複数形でウムラウト
noun,"[Bus, Busse]",バス,der,
noun,"[Durst, -]",渇き,der,通常複数なし
noun,"[Euro, Euro]",ユーロ,der,
noun,"[Film, Filme]",映画,der,
noun,"[Freund, Freunde]",彼氏・友人,der,文脈で意味変化
noun,"[Fußball, Fußbälle]",サッカー・サッカーボール,der,
noun,"[Gastgeber, Gastgeber]",主人・ホスト,der,単複同形
noun,"[Hals, Hälse]",首・喉,der,複数形でウムラウト
noun,"[Japaner, Japaner]",日本人,der,単複同形
noun,"[Käse, Käsesorten]",チーズ,der,通常不可算
noun,"[Kopfschmerz, Kopfschmerzen]",頭痛,der,複数形がよく使われる
noun,"[Lehrer, Lehrer]",先生,der,単複同形
noun,"[Monat, Monate]",月,der,
noun,"[Mund, Münder]",口,der,複数形でウムラウト
noun,"[Nebenjob, Nebenjobs]",アルバイト,der,
noun,"[Pilz, Pilze]",きのこ,der,
noun,"[Rat, Ratschläge]",アドバイス,der,複数はRatschlägeが一般的
noun,"[Rock, Röcke]",スカート,der,複数形でウムラウト
noun,"[Schüler, Schüler]",生徒,der,単複同形
noun,"[Sinn, Sinne]",感覚,der,
noun,"[Spieler, Spieler]",プレイヤー・選手,der,単複同形
noun,"[Tag, Tage]",日,der,
noun,"[Teilnehmer, Teilnehmer]",参加者,der,単複同形
noun,"[Tisch, Tische]",机,der,
noun,"[Unterricht, -]",授業,der,通常不可算
noun,"[Vater, Väter]",父,der,複数形でウムラウト
noun,"[Wagen, Wagen]",車,der,単複同形
noun,"[Eintopf, Eintöpfe]",シチュー,der,複数形でウムラウト
noun,"[Herr, Herren]",～氏,der,弱変化名詞
noun,"[Junge, Jungen]",少年,der,弱変化名詞
noun,"[Mensch, Menschen]",人,der,弱変化名詞
noun,"[Student, Studenten]",男子学生,der,弱変化名詞
noun,"[Assistent, Assistenten]",助手,der,弱変化名詞
noun,"[Name, Namen]",名前,der,弱変化名詞
noun,"[Reparatur, Reparaturen]",修理,die,
noun,"[Universität Tokyo, -]",東京大学,die,正式には die Universität Tokyo
noun,"[Philosophie, Philosophien]",哲学,die,
noun,"[Milch, -]",ミルク,die,不可算名詞
noun,"[Ansage, Ansagen]",アナウンス,die,
noun,"[Anweisung, Anweisungen]",指示・命令,die,
noun,"[Aufgabe, Aufgaben]",課題,die,「問題」の意味もある
noun,"[Bahn, Bahnen]",鉄道,die,
noun,"[Brille, Brillen]",メガネ,die,通常は複数で扱うことも多い
noun,"[Chemie, -]",化学,die,通常複数なし
noun,"[Flasche, Flaschen]",ビン・ボトル,die,
noun,"[Fremdsprache, Fremdsprachen]",外国語,die,
noun,"[Freundin, Freundinnen]",彼女・女友達,die,文脈で意味変化
noun,"[Grippe, Grippen]",インフルエンザ,die,複数形は稀
noun,"[Handtasche, Handtaschen]",ハンドバッグ,die,
noun,"[Kamera, Kameras]",カメラ,die,
noun,"[Kartoffel, Kartoffeln]",ジャガイモ,die,
noun,"[Konzertprobe, Konzertproben]",コンサートのリハーサル,die,
noun,"[Mutter, Mütter]",母,die,複数形でウムラウト
noun,"[Prüfung, Prüfungen]",試験,die,
noun,"[Rechnung, Rechnungen]",請求書,die,「計算」の意味もある
noun,"[Schwester, Schwestern]",姉・妹,die,
noun,"[Speisekarte, Speisekarten]",メニュー,die,
noun,"[Sprache, Sprachen]",言語,die,
noun,"[Studentin, Studentinnen]",女子学生,die,
noun,"[Tür, Türen]",ドア,die,
noun,"[Uni, Unis]",大学（略称）,die,
noun,"[Vorlesung, Vorlesungen]",講義,die,
noun,"[Wand, Wände]",壁,die,複数形でウムラウト
noun,"[Wohnung, Wohnungen]",部屋・アパート,die,
noun,"[Zeit, Zeiten]",時間,die,
